Use?,Why?,comp_ID,study_ID,dam_ID,animal_ID,author,year,title,journal,species,strain,manip_type,manip_direction,nom_manip_val,,,,nom_manip_val2,,,,intake_reported,vitmin_eql,adlib_con,adlib_exp,diet_con,diet_exp,dam_diet_start_dPC,dam_diet_end_dPC,diet_label,age_mating,n_con_dam,n_exp_dam,multi_use_con,dam_housing,temperature,photoperiod,litter_size,litter_size_equalized,crossfostered,sex,housing,bodyweight_mean_contr,bodyweight_SE_contr,bodyweight_mean_exp,bodyweight_SE_exp,bw_N_contr,bw_N_exp,bw_dayPG,birthweight_mean_contr,birthweight_SE_contr,birthweight_mean_exp,birthweight_SE_exp,birthweight_N_contr,birthweight_N_exp,offspring_diet,offspring_con_adlib,offspring_diet_level,offspring_diet_end_dPP,post_diet_adlib,response_age_dPP,author's behaviour,my behaviour,response_test,time_trial,measure,unit,high_better,night/day,comparison,exp_mean,exp_se,exp_n,con_mean,con_se,con_n,con_ID,d,se,percentage,Data_source,measure_comments,SE_imputed,Comments,suppl_files,weight,weightSE,birth,birthSE,initial_d,intialSE,final_d,finalSE
yes,,comp_457,s_42,D_81,A_116,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,8,14,pre,,10,8,yes,,,12,8,yes,no,f,,382.98,25.53,399.75,25.53,19,15,396,5.64,0.58,5.36,0.55,73,52,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,EXPLORATION,Photocell_device,30,rearing,sec,yes,day,con_LPM_day_f,320.93,41.86,5,376.74,48.84,5,con_159,,,no,Fig 2a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_458,s_42,D_81,A_116,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,8,14,pre,,10,8,yes,,,12,8,yes,no,f,,382.98,25.53,400.75,25.53,19,15,396,5.64,0.58,5.36,0.55,73,52,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,walking,sec,yes,day,con_LPM_day_f,209.3,20.93,5,202.33,20.93,5,con_160,,,no,Fig 2a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_459,s_42,D_82,A_117,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,15,22,pre,,10,10,yes,,,12,8,yes,no,f,,411.7,25.62,401.75,25.53,19,15,396,5.16,0.4,5.36,0.55,73,73,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,activity,sec,yes,day,con_LPL_day_f,446.51,20.93,7,418.61,48.84,5,con_158,,,no,Fig 2a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_460,s_42,D_82,A_117,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,15,22,pre,,10,10,yes,,,12,8,yes,no,f,,411.7,25.62,402.75,25.53,19,15,396,5.16,0.4,5.36,0.55,73,73,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,EXPLORATION,Photocell_device,30,rearing,sec,yes,day,con_LPL_day_f,237.21,20.93,7,376.74,48.84,5,con_159,,,no,Fig 2a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_461,s_42,D_82,A_117,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,15,22,pre,,10,10,yes,,,12,8,yes,no,f,,411.7,25.62,403.75,25.53,19,15,396,5.16,0.4,5.36,0.55,73,73,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,walking,sec,yes,day,con_LPL_day_f,174.42,20.93,7,202.33,20.93,5,con_160,,,no,Fig 2a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_462,s_42,D_83,A_118,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,0,22,pre,,10,11,yes,,,12,8,yes,no,f,,389.36,25.53,404.75,25.53,19,19,396,5.44,0.32,5.36,0.55,73,87,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,activity,sec,yes,day,con_LPA_day_f,425.58,34.88,5,418.61,48.84,5,con_158,,,no,Fig 2a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_463,s_42,D_83,A_118,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,0,22,pre,,10,11,yes,,,12,8,yes,no,f,,389.36,25.53,405.75,25.53,19,19,396,5.44,0.32,5.36,0.55,73,87,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,EXPLORATION,Photocell_device,30,rearing,sec,yes,day,con_LPA_day_f,300,55.81,5,376.74,48.84,5,con_159,,,no,Fig 2a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_464,s_42,D_83,A_118,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,0,22,pre,,10,11,yes,,,12,8,yes,no,f,,389.36,25.53,406.75,25.53,19,19,396,5.44,0.32,5.36,0.55,73,87,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,walking,sec,yes,day,con_LPA_day_f,216.28,20.93,5,202.33,20.93,5,con_160,,,no,Fig 2a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_465,s_42,D_80,A_111,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,0,7,pre,,10,10,yes,,,12,8,yes,no,m,,770.05,53.48,689.84,42.78,18,12,396,5.46,0.47,5.49,0.62,71,38,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,activity,sec,yes,night,con_LPE_night_m,526.01,8.09,4,493.64,56.65,5,con_161,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_466,s_42,D_80,A_111,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,0,7,pre,,10,10,yes,,,12,8,yes,no,m,,771.05,53.48,689.84,42.78,18,12,396,5.46,0.47,5.49,0.62,71,38,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,EXPLORATION,Photocell_device,30,rearing,sec,yes,night,con_LPE_night_m,420.81,129.48,4,275.14,48.56,5,con_162,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_467,s_42,D_80,A_111,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,0,7,pre,,10,10,yes,,,12,8,yes,no,m,,772.05,53.48,689.84,42.78,18,12,396,5.46,0.47,5.49,0.62,71,38,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,walking,sec,yes,night,con_LPE_night_m,234.68,8.1,4,202.31,32.37,5,con_163,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_468,s_42,D_81,A_112,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,8,14,pre,,10,8,yes,,,12,8,yes,no,m,,773.05,53.48,721.93,48.13,18,13,396,5.96,0.6,5.49,0.62,71,64,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,activity,sec,yes,night,con_LPM_night_m,566.47,32.37,5,493.64,56.65,5,con_161,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_469,s_42,D_81,A_112,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,8,14,pre,,10,8,yes,,,12,8,yes,no,m,,774.05,53.48,721.93,48.13,18,13,396,5.96,0.6,5.49,0.62,71,64,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,EXPLORATION,Photocell_device,30,rearing,sec,yes,night,con_LPM_night_m,331.79,40.46,5,275.14,48.56,5,con_162,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_470,s_42,D_81,A_112,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,8,14,pre,,10,8,yes,,,12,8,yes,no,m,,775.05,53.48,721.93,48.13,18,13,396,5.96,0.6,5.49,0.62,71,64,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,walking,sec,yes,night,con_LPM_night_m,242.77,24.28,5,202.31,32.37,5,con_163,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_471,s_42,D_82,A_113,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,15,22,pre,,10,10,yes,,,12,8,yes,no,m,,776.05,53.48,748.66,53.48,18,21,396,5.47,0.39,5.49,0.62,71,82,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,activity,sec,yes,night,con_LPL_night_m,477.46,56.65,5,493.64,56.65,5,con_161,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_472,s_42,D_82,A_113,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,15,22,pre,,10,10,yes,,,12,8,yes,no,m,,777.05,53.48,748.66,53.48,18,21,396,5.47,0.39,5.49,0.62,71,82,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,EXPLORATION,Photocell_device,30,rearing,sec,yes,night,con_LPL_night_m,315.61,48.55,5,275.14,48.56,5,con_162,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_473,s_42,D_82,A_113,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,15,22,pre,,10,10,yes,,,12,8,yes,no,m,,778.05,53.48,748.66,53.48,18,21,396,5.47,0.39,5.49,0.62,71,82,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,walking,sec,yes,night,con_LPL_night_m,226.59,24.28,5,202.31,32.37,5,con_163,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_474,s_42,D_83,A_114,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,0,22,pre,,10,11,yes,,,12,8,yes,no,m,,779.05,53.48,721.93,48.13,18,18,396,5.76,0.42,5.49,0.62,71,86,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,activity,sec,yes,night,con_LPA_night_m,477.46,56.65,5,493.64,56.65,5,con_161,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_475,s_42,D_83,A_114,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,0,22,pre,,10,11,yes,,,12,8,yes,no,m,,780.05,53.48,721.93,48.13,18,18,396,5.76,0.42,5.49,0.62,71,86,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,EXPLORATION,Photocell_device,30,rearing,sec,yes,night,con_LPA_night_m,404.62,145.67,5,275.14,48.56,5,con_162,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_476,s_42,D_83,A_114,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,0,22,pre,,10,11,yes,,,12,8,yes,no,m,,781.05,53.48,721.93,48.13,18,18,396,5.76,0.42,5.49,0.62,71,86,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,walking,sec,yes,night,con_LPA_night_m,202.31,40.47,5,202.31,32.37,5,con_163,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_477,s_42,D_80,A_115,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,0,7,pre,,10,10,yes,,,12,8,yes,no,f,,481.92,4738.3,395.75,25.53,19,17,396,5.31,0.57,5.36,0.55,73,43,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,activity,sec,yes,night,con_LPE_night_f,501.73,56.65,5,509.83,40.46,5,con_164,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_478,s_42,D_80,A_115,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,0,7,pre,,10,10,yes,,,12,8,yes,no,f,,481.92,4738.3,396.75,25.53,19,17,396,5.31,0.57,5.36,0.55,73,43,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,EXPLORATION,Photocell_device,30,rearing,sec,yes,night,con_LPE_night_f,258.96,32.37,5,331.79,72.83,5,con_165,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_479,s_42,D_80,A_115,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,0,7,pre,,10,10,yes,,,12,8,yes,no,f,,481.92,4738.3,397.75,25.53,19,17,396,5.31,0.57,5.36,0.55,73,43,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,walking,sec,yes,night,con_LPE_night_f,242.78,32.37,5,226.59,16.18,5,con_166,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_480,s_42,D_81,A_116,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,8,14,pre,,10,8,yes,,,12,8,yes,no,f,,382.98,25.53,398.75,25.53,19,15,396,5.64,0.58,5.36,0.55,73,52,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,activity,sec,yes,night,con_LPM_night_f,501.73,56.65,5,509.83,40.46,5,con_164,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_481,s_42,D_81,A_116,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,8,14,pre,,10,8,yes,,,12,8,yes,no,f,,382.98,25.53,399.75,25.53,19,15,396,5.64,0.58,5.36,0.55,73,52,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,EXPLORATION,Photocell_device,30,rearing,sec,yes,night,con_LPM_night_f,250.87,40.46,5,331.79,72.83,5,con_165,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_482,s_42,D_81,A_116,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,8,14,pre,,10,8,yes,,,12,8,yes,no,f,,382.98,25.53,400.75,25.53,19,15,396,5.64,0.58,5.36,0.55,73,52,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,walking,sec,yes,night,con_LPM_night_f,242.78,40.46,5,226.59,16.18,5,con_166,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_483,s_42,D_82,A_117,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,15,22,pre,,10,10,yes,,,12,8,yes,no,f,,411.7,25.62,401.75,25.53,19,15,396,5.16,0.4,5.36,0.55,73,73,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,activity,sec,yes,night,con_LPL_night_f,428.9,16.19,7,509.83,40.46,5,con_164,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_484,s_42,D_82,A_117,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,15,22,pre,,10,10,yes,,,12,8,yes,no,f,,411.7,25.62,402.75,25.53,19,15,396,5.16,0.4,5.36,0.55,73,73,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,EXPLORATION,Photocell_device,30,rearing,sec,yes,night,con_LPL_night_f,226.59,24.28,7,331.79,72.83,5,con_165,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_485,s_42,D_82,A_117,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,15,22,pre,,10,10,yes,,,12,8,yes,no,f,,411.7,25.62,403.75,25.53,19,15,396,5.16,0.4,5.36,0.55,73,73,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,walking,sec,yes,night,con_LPL_night_f,202.31,8.09,7,226.59,16.18,5,con_166,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_486,s_42,D_83,A_118,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,0,22,pre,,10,11,yes,,,12,8,yes,no,f,,389.36,25.53,404.75,25.53,19,19,396,5.44,0.32,5.36,0.55,73,87,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,activity,sec,yes,night,con_LPA_night_f,509.83,56.65,5,509.83,40.46,5,con_164,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_487,s_42,D_83,A_118,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,0,22,pre,,10,11,yes,,,12,8,yes,no,f,,389.36,25.53,405.75,25.53,19,19,396,5.44,0.32,5.36,0.55,73,87,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,EXPLORATION,Photocell_device,30,rearing,sec,yes,night,con_LPA_night_f,291.33,48.56,5,331.79,72.83,5,con_165,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_488,s_42,D_83,A_118,Bellinger,2006,Exposure to undernutrition in fetal,J050,rats,Wistar,protein,-,50%,9%,18%,protein content,,,,,no,,yes,yes,CRMX_special_Diet_Cambridge_18%Casein,CRMX_special_Diet_Cambridge_9%Casein,0,22,pre,,10,11,yes,,,12,8,yes,no,f,,389.36,25.53,406.75,25.53,19,19,396,5.44,0.32,5.36,0.55,73,87,control,yes,B&K_Universal_rodent_diet_20%protein,28,yes,396,ACTIVITY,ACTIVITY,Photocell_device,30,walking,sec,yes,night,con_LPA_night_f,226.59,24.27,5,226.59,16.18,5,con_166,,,no,Fig 3a,,no,"extracted data for ""novel "" not ""adapted"" locomotor activity, range of sample size instead of exact ones (Simon Langsley-Evan gave me exact sample size for testing and weight at testing)",,,,,,,,,
yes,,comp_489,s_43,D_84,A_119,Duran,2005,Prenatal protein malnutrition indices a ,J014,rats,Sprague-Dawley,protein,-,24%,6%,25%,protein content,,,,,no,,yes,yes,Teklad_isocal_25Casein,Teklad_isocal_6Casein,-35,22,pre,,11,10,no,,,12,8,yes,yes,m,,536,83,492,85,88,80,88,6.38,0.56,5.61,0.44,11,10,control,yes,Purina_Chow_5001,0,yes,88,ACTIVITY,ACTIVITY,radiotelemetry,1440,activity_duration,min,yes,day,con_malnourished,646,14.23,10,677,16.44,10,con_167,,,no,Table 2,transformed SD to SEM ,yes, Did not extract data from Fig 1 and 2 or Table 1: not sure it was extractable,,,,,,,,,
